id,year,month,avg_t,avg_max_t,avg_min_t,max_t,min_t,high_min_t,low_max_t,days_frost,total_p,max_p,days_light_p,days_moderate_p,days_rain_p,days_snow_p,days_hail_p,gust_dir_w,gust_speed_w,days_strong_w,days_very_strong_w,avg_speed_w,avg_daily_s,pct_s,avg_pss,max_pss,min_pss,avg_sfc_pss
0016A,1945,2,,,,,,,,,3.60,2.50,3.00,0.00,2.00,0.00,0.00,,,,,,,,,,,
0016A,1945,3,,,,,,,,,15.70,9.00,3.00,0.00,3.00,0.00,0.00,,,,,,,,,,,
0016A,1945,4,,,,,,,,,15.00,9.20,5.00,0.00,4.00,0.00,0.00,,,,,,,,,,,
0016A,1945,5,,,,,,,,,41.40,21.20,3.00,2.00,4.00,0.00,0.00,,,,,,,,,,,
0016A,1945,6,,,,,,,,,26.60,15.70,3.00,1.00,6.00,0.00,0.00,,,,,,,,,,,
0016A,1945,7,,,,,,,,,5.10,4.50,2.00,0.00,3.00,0.00,0.00,,,,,,,,,,,
0016A,1945,8,,,,,,,,,28.60,20.40,6.00,1.00,8.00,0.00,0.00,,,,,,,,,,,
0016A,1945,9,,,,,,,,,0.05,0.05,0.00,0.00,4.00,0.00,0.00,,,,,,,,,,,
0016A,1945,10,,,,,,,,,10.10,5.20,4.00,0.00,6.00,0.00,0.00,,,,,,,,,,,
0016A,1945,11,,,,,,,,,69.40,39.60,6.00,3.00,,,,,,,,,,,,,,
0016A,1945,12,,,,,,,,,28.10,16.50,4.00,1.00,6.00,0.00,0.00,,,,,,,,,,,
0016A,1946,1,,,,,,,,,70.90,36.50,9.00,2.00,8.00,2.00,0.00,,,,,,,,,,,
0016A,1946,2,,,,,,,,,1.40,1.00,2.00,0.00,2.00,0.00,0.00,,,,,,,,,,,
0016A,1946,3,,,,,,,,,26.10,7.30,10.00,0.00,10.00,0.00,0.00,,,,,,,,,,,
0016A,1946,4,,,,,,,,,135.90,32.00,13.00,6.00,15.00,0.00,0.00,,,,,,,,,,,
0016A,1946,5,,,,,,,,,114.10,26.60,14.00,3.00,17.00,0.00,0.00,,,,,,,,,,,
0016A,1946,6,,,,,,,,,56.90,18.00,7.00,2.00,7.00,0.00,0.00,,,,,,,,,,,
0016A,1946,7,,,,,,,,,0.05,0.05,0.00,0.00,2.00,0.00,0.00,,,,,,,,,,,
0016A,1946,8,,,,,,,,,29.90,13.60,5.00,1.00,,,,,,,,,,,,,,
0016A,1946,9,,,,,,,,,56.50,18.50,6.00,2.00,6.00,0.00,0.00,,,,,,,,,,,
0016A,1946,10,,,,,,,,,61.10,24.50,8.00,2.00,8.00,0.00,0.00,,,,,,,,,,,
0016A,1946,11,,,,,,,,,14.90,7.50,5.00,0.00,5.00,0.00,0.00,,,,,,,,,,,
0016A,1946,12,,,,,,,,,4.70,2.50,2.00,0.00,2.00,1.00,0.00,,,,,,,,,,,
0016A,1947,1,,,,,,,,,28.70,9.70,6.00,0.00,4.00,2.00,0.00,,,,,,,,,,,
0016A,1947,2,,,,,,,,,35.00,15.20,10.00,1.00,,,,,,,,,,,,,,
0016A,1947,3,,,,,,,,,36.60,9.40,11.00,0.00,11.00,0.00,0.00,,,,,,,,,,,
0016A,1947,4,,,,,,,,,2.00,0.70,3.00,0.00,,,,,,,,,,,,,,
0016A,1947,5,,,,,,,,,21.00,9.50,6.00,0.00,6.00,0.00,0.00,,,,,,,,,,,
0016A,1947,6,,,,,,,,,0.80,0.80,1.00,0.00,1.00,0.00,0.00,,,,,,,,,,,
0016A,1947,7,,,,,,,,,10.00,7.00,5.00,0.00,5.00,0.00,0.00,,,,,,,,,,,
0016A,1947,8,,,,,,,,,61.80,36.10,7.00,2.00,8.00,0.00,0.00,,,,,,,,,,,
0016A,1947,9,,,,,,,,,39.30,14.50,5.00,2.00,5.00,0.00,0.00,,,,,,,,,,,
0016A,1947,10,,,,,,,,,57.50,28.00,9.00,2.00,11.00,0.00,0.00,,,,,,,,,,,
0016A,1947,11,,,,,,,,,6.80,5.70,2.00,0.00,2.00,0.00,0.00,,,,,,,,,,,
0016A,1947,12,,,,,,,,,29.00,20.60,4.00,1.00,6.00,1.00,0.00,,,,,,,,,,,
0016A,1948,1,,,,,,,,,20.10,9.50,5.00,0.00,8.00,0.00,0.00,,,,,,,,,,,
0016A,1948,2,,,,,,,,,31.30,8.50,10.00,0.00,10.00,1.00,0.00,,,,,,,,,,,
0016A,1948,3,,,,,,,,,40.60,32.50,5.00,1.00,7.00,0.00,0.00,,,,,,,,,,,
0016A,1948,4,,,,,,,,,36.40,12.00,8.00,1.00,8.00,0.00,0.00,,,,,,,,,,,
0016A,1948,5,,,,,,,,,19.30,8.70,9.00,0.00,10.00,0.00,0.00,,,,,,,,,,,
0016A,1948,6,,,,,,,,,40.40,19.80,3.00,2.00,3.00,0.00,0.00,,,,,,,,,,,
0016A,1948,7,,,,,,,,,3.90,3.60,2.00,0.00,4.00,0.00,0.00,,,,,,,,,,,
0016A,1948,8,,,,,,,,,2.60,1.10,3.00,0.00,4.00,0.00,0.00,,,,,,,,,,,
0016A,1948,9,,,,,,,,,87.00,75.60,4.00,1.00,5.00,0.00,0.00,,,,,,,,,,,
0016A,1948,10,,,,,,,,,19.70,9.40,6.00,0.00,8.00,0.00,0.00,,,,,,,,,,,
0016A,1948,11,,,,,,,,,3.00,3.00,1.00,0.00,2.00,0.00,0.00,,,,,,,,,,,
0016A,1948,12,,,,,,,,,60.50,41.10,10.00,1.00,13.00,0.00,0.00,,,,,,,,,,,
0016A,1949,1,,,,,,,,,3.70,3.20,3.00,0.00,4.00,0.00,0.00,,,,,,,,,,,
0016A,1949,2,,,,,,,,,4.90,2.50,2.00,0.00,4.00,0.00,0.00,,,,,,,,,,,
0016A,1949,3,,,,,,,,,75.20,45.50,9.00,1.00,9.00,0.00,0.00,,,,,,,,,,,
0016A,1949,4,,,,,,,,,36.60,9.10,7.00,0.00,10.00,0.00,0.00,,,,,,,,,,,
0016A,1949,5,,,,,,,,,147.90,29.50,14.00,7.00,14.00,0.00,0.00,,,,,,,,,,,
0016A,1949,6,,,,,,,,,14.00,11.20,3.00,1.00,3.00,0.00,0.00,,,,,,,,,,,
0016A,1949,7,,,,,,,,,1.90,1.30,2.00,0.00,3.00,0.00,0.00,,,,,,,,,,,
0016A,1949,8,,,,,,,,,25.20,15.70,4.00,1.00,6.00,0.00,0.00,,,,,,,,,,,
0016A,1949,9,,,,,,,,,119.80,74.80,3.00,3.00,6.00,0.00,0.00,,,,,,,,,,,
0016A,1949,10,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,
0016A,1949,11,,,,,,,,,25.70,20.00,4.00,1.00,4.00,0.00,0.00,,,,,,,,,,,
0016A,1949,12,,,,,,,,,30.70,9.60,7.00,0.00,9.00,0.00,1.00,,,,,,,,,,,
0016A,1950,1,,,,,,,,,9.60,9.60,1.00,0.00,2.00,0.00,0.00,,,,,,,,,,,
0016A,1950,2,,,,,,,,,0.20,0.20,1.00,0.00,3.00,0.00,0.00,,,,,,,,,,,
0016A,1950,3,,,,,,,,,12.90,9.40,2.00,0.00,4.00,0.00,0.00,,,,,,,,,,,
0016A,1950,4,,,,,,,,,20.10,9.60,5.00,0.00,7.00,0.00,0.00,,,,,,,,,,,
0016A,1950,5,,,,,,,,,79.70,31.20,5.00,3.00,9.00,0.00,0.00,,,,,,,,,,,
0016A,1950,6,,,,,,,,,8.20,5.40,2.00,0.00,3.00,0.00,0.00,,,,,,,,,,,
0016A,1950,7,,,,,,,,,1.30,1.00,2.00,0.00,6.00,0.00,0.00,,,,,,,,,,,
0016A,1950,8,,,,,,,,,85.00,23.80,10.00,3.00,11.00,0.00,0.00,,,,,,,,,,,
0016A,1950,9,,,,,,,,,12.70,8.50,3.00,0.00,5.00,0.00,0.00,,,,,,,,,,,
0016A,1950,10,,,,,,,,,5.90,5.40,2.00,0.00,4.00,0.00,0.00,,,,,,,,,,,
0016A,1950,11,,,,,,,,,0.05,0.05,0.00,0.00,1.00,0.00,0.00,,,,,,,,,,,
0016A,1950,12,,,,,,,,,106.30,28.50,8.00,4.00,7.00,0.00,1.00,,,,,,,,,,,
0016A,1952,11,13.10,17.40,8.70,22.70,0.80,14.10,9.20,0.00,15.30,5.00,6.00,0.00,,,,,,,,15.84,,,1005.50,,,1014.60
0016A,1952,12,9.80,14.50,5.00,20.80,-1.80,12.00,9.40,3.00,7.60,7.00,2.00,0.00,7.00,0.00,0.00,,,,,11.88,,,1004.80,1016.20,984.40,1014.10
0016A,1953,1,7.00,12.50,1.40,20.40,-4.00,6.00,8.00,11.00,0.05,0.05,0.00,0.00,1.00,0.00,0.00,,,,,10.08,,,1007.00,1025.90,984.20,1016.30
0016A,1953,2,7.80,13.70,1.80,19.60,-4.20,8.70,7.30,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,15.12,,,1007.60,1022.00,986.20,1016.90
0016A,1953,3,10.70,16.00,5.40,22.30,-1.80,11.00,9.20,2.00,28.10,22.00,3.00,1.00,5.00,0.00,0.00,,,,,12.96,,,1014.90,1024.70,1003.20,1024.20
0016A,1953,4,14.40,19.10,9.70,24.10,4.20,14.20,12.20,0.00,15.00,8.20,3.00,0.00,,,,,,,,18.00,,,1004.20,1011.00,989.40,1013.20
0016A,1953,5,19.20,24.50,13.90,31.30,9.20,18.50,13.90,0.00,27.30,21.30,2.00,1.00,3.00,0.00,1.00,,,,,15.84,10.20,70.00,1005.20,1014.40,992.70,1014.10
0016A,1953,6,20.30,24.20,16.40,29.70,11.90,20.50,18.40,0.00,142.20,47.10,11.00,4.00,,,,,,,,11.88,8.40,56.00,1002.60,1010.30,990.60,1011.50
0016A,1953,7,23.80,27.70,19.80,32.60,15.50,23.00,23.70,0.00,11.70,9.10,2.00,0.00,4.00,0.00,0.00,,,,,14.04,9.80,66.00,1007.40,1015.60,1001.00,1016.20
0016A,1953,8,24.70,29.10,20.40,34.40,16.30,22.50,26.70,0.00,43.10,42.50,2.00,1.00,6.00,0.00,0.00,,,,,14.04,10.20,74.00,1008.20,1015.20,1000.80,1016.90
0016A,1953,9,22.20,26.80,17.70,30.80,9.00,22.70,21.00,0.00,88.40,75.40,5.00,1.00,,,,,,,,11.88,8.10,65.00,1006.10,1017.20,995.00,1014.80
0016A,1953,10,17.10,21.40,12.70,25.00,4.00,17.50,18.00,0.00,,,,,,,,,,,,9.00,5.60,51.00,1006.10,1018.00,986.70,1015.10
0016A,1953,11,13.50,18.20,8.80,21.80,2.00,14.80,15.70,0.00,3.00,1.40,3.00,0.00,6.00,0.00,0.00,,,,,10.08,6.60,67.00,1013.60,1021.20,997.80,1022.70
0016A,1953,12,,,,,,,,,41.70,17.70,5.00,2.00,,,,,,,,15.12,4.30,46.00,1008.90,1018.30,998.00,1018.10
0016A,1954,1,7.30,11.70,2.90,18.60,-3.00,11.80,5.00,10.00,5.00,4.00,2.00,0.00,3.00,0.00,0.00,,,,,24.84,7.10,74.00,1006.20,1022.30,980.70,1015.50
0016A,1954,2,8.20,13.00,3.40,19.00,-6.30,12.40,3.10,7.00,13.90,8.80,4.00,0.00,4.00,1.00,0.00,,,,,20.88,7.30,68.00,,,,
0016A,1954,3,,,,,,,,,43.10,19.00,9.00,1.00,,,,,,,,15.84,5.80,48.00,1000.00,1012.00,983.20,1009.10
0016A,1954,4,13.20,17.20,9.30,22.80,4.40,13.80,11.20,0.00,42.60,25.20,7.00,1.00,,,,,,,,14.04,6.60,49.00,1005.90,1017.40,994.60,1015.00
0016A,1954,5,16.70,20.90,12.50,25.90,7.90,17.20,15.70,0.00,79.80,35.60,6.00,2.00,,,,,,,,15.84,9.30,64.00,1004.60,1012.80,990.70,1013.60
0016A,1954,6,21.10,25.30,17.00,30.10,14.50,20.00,20.50,0.00,78.40,68.00,4.00,1.00,,,,,,,,10.08,10.40,69.00,1005.70,1014.20,997.50,1014.50
0016A,1954,7,23.00,27.30,18.60,30.80,14.30,21.20,21.50,0.00,5.70,5.50,2.00,0.00,,,,,,,,14.04,11.10,75.00,1006.90,1014.30,997.00,1015.70
0016A,1954,8,23.50,28.00,19.10,32.20,14.40,22.40,25.00,0.00,7.50,7.00,2.00,0.00,,,,,,,,15.12,10.90,79.00,1004.90,1015.90,993.20,1013.70
0016A,1954,9,22.10,26.70,17.50,31.00,11.00,21.00,22.50,0.00,2.70,2.70,1.00,0.00,1.00,0.00,0.00,,,,,12.96,8.00,64.00,1009.00,1016.00,1000.40,1017.80
0016A,1954,10,18.10,22.80,13.30,27.00,8.00,19.20,16.80,0.00,55.00,43.40,4.00,1.00,,,,,,,,11.16,7.00,63.00,1009.10,1017.40,996.70,1018.10
0016A,1954,11,14.30,19.30,9.30,25.60,1.40,15.70,15.30,0.00,,,,,,,,,,,,10.08,6.30,64.00,1004.70,1019.40,991.60,1013.70
0016A,1954,12,10.50,15.40,5.60,19.20,-1.70,13.20,11.60,2.00,44.40,43.20,2.00,1.00,4.00,0.00,0.00,,,,,15.12,6.30,68.00,1008.00,1026.00,979.10,1017.20
0016A,1955,1,12.30,15.90,8.80,22.50,1.30,16.50,10.30,0.00,16.90,5.30,7.00,0.00,,,,,,,,18.00,3.60,38.00,1000.00,1010.70,989.20,1009.10
0016A,1955,2,10.40,14.50,6.20,21.40,-0.80,11.60,8.80,1.00,47.10,24.00,9.00,1.00,12.00,0.00,0.00,,,,,20.16,5.90,55.00,998.00,1014.30,975.20,1007.10
0016A,1955,3,10.60,15.40,5.70,23.10,-1.20,10.90,7.40,1.00,8.90,7.90,2.00,0.00,,,,,,,,15.84,5.90,50.00,1001.60,1015.60,989.00,1010.80
0016A,1955,4,13.40,19.20,7.60,22.50,2.50,12.00,13.00,0.00,7.00,7.00,1.00,0.00,,,,,,,,16.92,9.80,74.00,1008.90,1017.90,1001.90,1018.00
0016A,1955,5,17.80,21.60,14.10,25.30,10.20,16.90,15.30,0.00,25.00,10.00,6.00,1.00,,,,,,,,15.84,8.10,56.00,1008.20,1017.00,998.70,1017.20
0016A,1955,6,21.10,25.60,16.70,30.10,12.20,21.90,22.00,0.00,60.40,37.10,5.00,1.00,,,,,,,,15.84,9.00,60.00,1006.50,1017.50,992.80,1015.40
0016A,1955,7,24.20,28.70,19.60,31.60,17.00,22.50,23.90,0.00,,,,,,,,20.00,57.96,2.00,0.00,15.12,10.70,72.00,1005.10,1010.60,995.40,1013.80
0016A,1955,8,24.20,28.90,19.40,34.00,17.00,22.70,24.60,0.00,49.30,39.10,5.00,1.00,,,,290.00,110.88,5.00,1.00,15.12,9.90,72.00,1006.20,1011.80,1000.40,1014.90
0016A,1955,9,20.90,25.50,16.20,32.80,10.40,20.40,21.20,0.00,98.10,56.40,5.00,4.00,,,,320.00,113.04,10.00,2.00,14.04,7.60,61.00,1007.20,1014.70,995.90,1016.00
0016A,1955,10,16.20,21.00,11.50,26.90,4.70,16.60,15.90,0.00,186.40,160.60,4.00,2.00,,,,320.00,114.12,8.00,1.00,12.96,6.70,60.00,1004.60,1014.00,988.40,1013.60
0016A,1955,11,11.60,16.50,6.60,22.50,0.50,14.90,10.80,0.00,0.05,0.05,0.00,0.00,,,,320.00,61.92,2.00,0.00,9.00,6.60,66.00,1007.00,1018.30,992.80,1016.10
0016A,1955,12,11.00,15.40,6.50,18.20,0.00,12.50,10.90,1.00,32.30,21.40,2.00,2.00,,,,320.00,113.04,14.00,6.00,16.92,5.30,57.00,1006.60,1022.70,988.40,1015.80
0016A,1956,1,9.30,14.20,4.40,18.20,-0.70,9.40,8.20,3.00,8.10,4.30,3.00,0.00,,,,320.00,101.88,14.00,2.00,14.04,5.50,57.00,1005.70,1016.30,984.20,1014.90
0016A,1956,2,,,,,,,,,2.70,2.70,1.00,0.00,2.00,0.00,0.00,,,,,28.08,7.90,74.00,1001.80,1023.60,988.40,
0016A,1956,3,11.20,16.00,6.40,21.90,2.10,11.80,12.50,0.00,81.10,23.10,8.00,4.00,,,,90.00,75.96,6.00,0.00,15.84,6.40,54.00,1003.90,1019.40,986.40,1013.10
0016A,1956,4,12.70,16.80,8.60,20.00,5.00,12.80,12.60,0.00,84.60,60.70,9.00,1.00,12.00,0.00,0.00,320.00,111.96,10.00,2.00,16.92,7.20,54.00,1001.80,1017.00,989.00,1010.90
0016A,1956,5,17.20,22.40,11.90,29.30,8.00,15.80,17.40,0.00,62.00,42.40,4.00,2.00,,,,110.00,83.88,9.00,0.00,18.00,10.00,69.00,1009.90,1022.70,997.80,1018.90
0016A,1956,6,18.90,23.70,14.20,28.50,10.20,17.00,15.00,0.00,58.00,38.20,2.00,2.00,,,,320.00,97.92,10.00,2.00,18.00,10.30,68.00,1008.90,1013.80,1002.30,1017.80
0016A,1956,7,22.90,27.70,18.00,32.10,14.30,21.80,25.00,0.00,28.60,25.00,2.00,1.00,3.00,0.00,0.00,320.00,78.84,6.00,0.00,20.16,10.80,73.00,1006.60,1015.80,996.70,1015.30
0016A,1956,8,23.60,28.50,18.70,33.30,14.50,21.00,20.10,0.00,43.20,19.80,8.00,1.00,,,,320.00,84.96,10.00,0.00,19.08,9.90,72.00,1004.30,1012.70,993.40,1013.00
0016A,1956,9,21.30,26.00,16.70,32.60,9.60,20.40,17.30,0.00,253.60,98.10,7.00,4.00,,,,340.00,92.16,6.00,1.00,15.12,8.40,68.00,1006.70,1014.60,997.10,1015.50
0016A,1956,10,16.00,20.40,11.60,26.80,2.50,17.80,11.40,0.00,86.60,35.10,9.00,3.00,,,,320.00,87.12,8.00,0.00,18.00,6.20,56.00,1011.20,1021.50,999.90,1020.30
0016A,1956,11,10.00,14.90,5.10,19.50,0.10,9.40,10.00,0.00,41.20,29.20,4.00,1.00,,,,320.00,114.12,15.00,4.00,20.16,6.60,67.00,1007.60,1022.20,994.80,1016.80
0016A,1956,12,7.90,13.40,2.30,16.00,-2.20,8.20,9.20,7.00,3.60,1.90,2.00,0.00,3.00,0.00,0.00,320.00,60.84,1.00,0.00,6.84,6.30,68.00,1012.70,1021.10,993.90,1022.00
0016A,1957,1,6.90,12.90,0.90,19.00,-5.00,8.80,4.80,13.00,2.60,1.30,3.00,0.00,,,,320.00,77.04,6.00,0.00,12.96,7.20,75.00,1012.50,1027.60,993.80,1021.90
0016A,1957,2,11.60,16.90,6.20,23.60,-0.80,13.00,12.80,1.00,12.60,12.60,1.00,1.00,,,,340.00,119.88,16.00,3.00,20.16,7.00,66.00,1007.70,1018.80,983.80,1016.90
0016A,1957,3,12.40,17.50,7.30,23.30,3.50,11.20,13.10,0.00,7.40,3.60,3.00,0.00,,,,140.00,78.12,4.00,0.00,14.04,7.00,58.00,1007.20,1016.70,995.80,1016.30
0016A,1957,4,13.00,17.90,8.00,25.20,4.40,12.10,11.90,0.00,87.00,45.80,8.00,3.00,,,,320.00,101.16,11.00,2.00,19.08,8.10,60.00,1004.70,1014.80,986.30,1013.80
0016A,1957,5,15.60,20.10,11.10,25.30,8.60,13.20,14.30,0.00,170.30,109.20,11.00,3.00,,,,320.00,69.84,3.00,0.00,14.04,7.30,50.00,1003.80,1013.20,989.90,1012.80
0016A,1957,6,19.10,23.30,14.80,28.20,11.50,18.40,17.10,0.00,102.70,27.40,12.00,3.00,,,,340.00,90.00,6.00,0.00,14.04,8.50,56.00,1006.50,1016.00,992.80,1015.40
0016A,1957,7,23.00,28.20,17.70,31.10,14.80,21.30,25.00,0.00,9.30,6.50,3.00,0.00,,,,320.00,79.92,10.00,0.00,21.96,11.80,80.00,1007.30,1012.00,999.40,1016.10
0016A,1957,8,23.40,28.20,18.70,34.60,13.10,22.20,20.70,0.00,43.00,14.70,10.00,2.00,,,,270.00,75.96,5.00,0.00,15.84,8.10,58.00,1006.30,1013.00,994.70,1015.00
0016A,1957,9,21.30,26.20,16.40,33.60,12.30,19.60,21.30,0.00,86.70,59.10,6.00,3.00,,,,320.00,70.92,5.00,0.00,12.96,8.10,65.00,1007.60,1015.60,995.90,1016.50
0016A,1957,10,15.90,20.90,10.90,23.80,4.20,17.80,15.30,0.00,74.00,21.00,9.00,3.00,,,,320.00,73.08,3.00,0.00,11.16,6.30,58.00,1006.90,1014.80,996.30,1015.90
0016A,1957,11,11.30,16.10,6.50,20.00,0.20,13.40,10.60,0.00,26.00,9.90,7.00,0.00,,,,290.00,105.84,6.00,2.00,12.96,5.50,56.00,1005.00,1018.00,980.60,1014.20
0016A,1957,12,8.20,13.40,3.10,16.50,-2.30,9.60,10.00,4.00,40.60,18.40,8.00,1.00,,,,290.00,131.04,12.00,1.00,14.04,5.70,61.00,1005.00,1024.70,968.70,1014.20
0016A,1958,1,8.50,13.30,3.70,19.50,-1.90,13.30,10.00,7.00,34.90,27.10,5.00,1.00,,,,290.00,117.00,14.00,4.00,19.08,5.80,61.00,1007.40,1018.30,984.00,1016.70
0016A,1958,2,10.40,15.90,4.90,22.10,-3.20,9.40,8.80,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,290.00,117.00,10.00,4.00,16.92,7.10,66.00,1008.30,1024.30,989.80,1017.50
0016A,1958,3,12.20,17.50,7.00,24.60,0.50,13.70,10.40,0.00,30.00,14.50,8.00,1.00,,,,320.00,104.04,22.00,6.00,28.08,7.20,61.00,1000.90,1013.80,988.70,1010.00
0016A,1958,4,12.50,18.30,6.70,24.30,2.00,10.70,10.60,0.00,25.90,18.10,2.00,1.00,,,,320.00,96.12,15.00,2.00,24.84,8.70,65.00,1004.80,1017.00,989.80,1013.90
0016A,1958,5,17.40,22.60,12.10,26.70,6.60,16.40,17.90,0.00,12.60,4.40,5.00,0.00,7.00,0.00,0.00,290.00,124.92,6.00,2.00,15.12,9.40,65.00,1007.50,1018.20,995.40,1016.40
0016A,1958,6,20.80,25.50,16.00,29.50,13.20,19.80,20.70,0.00,22.20,12.90,7.00,1.00,7.00,0.00,0.00,320.00,96.12,9.00,1.00,16.92,9.60,63.00,1005.30,1012.80,990.70,1014.10
0016A,1958,7,22.90,28.20,17.50,32.20,14.20,21.40,25.30,0.00,1.50,1.50,1.00,0.00,,,,320.00,83.16,3.00,0.00,18.00,12.00,81.00,1006.60,1015.40,997.10,1015.40
0016A,1958,8,24.30,28.90,19.70,33.10,14.20,22.40,25.80,0.00,4.10,3.10,3.00,0.00,,,,290.00,65.88,4.00,0.00,15.12,9.70,70.00,1005.30,1013.50,991.20,1014.00
0016A,1958,9,23.80,27.80,19.90,32.70,15.30,22.90,22.90,0.00,23.90,21.60,5.00,1.00,,,,320.00,60.12,2.00,0.00,10.08,6.30,50.00,1007.30,1014.40,992.70,1016.10
0016A,1958,10,17.30,22.20,12.40,27.50,5.90,18.80,17.70,0.00,69.40,32.80,9.00,3.00,,,,320.00,69.84,5.00,0.00,12.96,6.60,59.00,1009.80,1018.80,992.00,1018.80
0016A,1958,11,12.90,17.10,8.60,21.80,3.60,12.60,13.20,0.00,43.70,20.80,9.00,2.00,,,,320.00,84.96,8.00,0.00,12.96,4.60,46.00,1006.70,1020.40,990.70,1015.80
0016A,1958,12,11.10,14.50,7.80,19.40,1.80,12.20,11.10,0.00,91.00,30.20,15.00,3.00,,,,320.00,91.08,13.00,1.00,15.84,3.80,41.00,999.50,1019.20,976.80,1008.60
0016A,1959,1,9.20,13.60,4.80,20.10,-2.10,10.30,8.30,3.00,2.20,2.20,1.00,0.00,,,,320.00,138.96,8.00,1.00,14.04,5.20,54.00,1008.50,1021.00,997.20,1017.80
0016A,1959,2,10.10,14.60,5.60,18.60,1.80,10.90,7.80,0.00,81.50,16.80,11.00,4.00,,,,320.00,63.00,1.00,0.00,9.00,5.70,53.00,1016.40,1031.10,1000.20,1025.70
0016A,1959,3,12.80,16.40,9.30,21.90,4.00,13.10,13.10,0.00,114.20,32.70,14.00,4.00,,,,320.00,101.16,8.00,1.00,15.12,4.70,39.00,1005.00,1017.60,992.40,1014.10
0016A,1959,4,14.80,20.00,9.50,23.70,5.40,12.60,15.60,0.00,7.00,3.60,3.00,0.00,5.00,0.00,0.00,320.00,114.84,11.00,5.00,21.96,8.30,63.00,1003.60,1013.20,991.80,1012.60
0016A,1959,5,16.80,21.60,11.90,26.70,6.90,14.80,18.00,0.00,40.20,17.90,11.00,1.00,,,,320.00,83.88,5.00,0.00,12.96,7.70,53.00,1003.50,1013.10,993.50,1012.50
0016A,1959,6,20.80,25.90,15.70,30.40,11.00,20.10,18.60,0.00,25.90,12.50,5.00,2.00,,,,320.00,101.88,3.00,1.00,15.84,10.70,71.00,1008.20,1014.60,1000.70,1017.00
0016A,1959,7,24.50,29.60,19.30,33.60,14.40,21.80,26.60,0.00,9.90,6.80,5.00,0.00,,,,200.00,75.96,3.00,0.00,14.04,10.90,74.00,1007.20,1017.90,998.40,1015.80
0016A,1959,8,24.20,28.90,19.50,33.00,16.80,22.40,26.10,0.00,61.60,29.20,10.00,2.00,,,,270.00,65.16,1.00,0.00,15.12,8.90,64.00,1006.10,1014.80,1000.70,1014.80
0016A,1959,9,21.10,25.20,17.10,31.20,14.10,19.60,22.20,0.00,210.00,58.90,13.00,6.00,,,,90.00,72.00,3.00,0.00,12.96,6.10,48.00,1006.10,1013.00,999.80,1014.90
0016A,1959,10,17.00,20.70,13.40,23.50,7.40,18.10,14.40,0.00,86.20,46.10,10.00,3.00,,,,320.00,102.96,9.00,3.00,15.84,5.50,50.00,1007.60,1019.20,978.00,1016.60
0016A,1959,11,12.00,16.60,7.30,21.40,1.70,13.30,13.00,0.00,23.10,19.50,7.00,1.00,,,,320.00,95.04,8.00,3.00,15.12,5.60,56.00,1004.40,1014.80,965.50,1013.60
0016A,1959,12,11.00,14.70,7.20,19.20,2.80,11.40,11.80,0.00,15.30,14.70,3.00,1.00,,,,320.00,135.00,18.00,9.00,21.96,5.20,56.00,1002.00,1017.00,962.20,1011.20
0016A,1960,1,9.30,13.70,4.80,19.80,-3.10,11.20,5.30,3.00,58.40,14.50,8.00,2.00,,,,320.00,111.96,13.00,3.00,12.96,5.70,60.00,1005.70,1019.20,985.50,1014.90
0016A,1960,2,10.40,14.80,6.10,23.00,2.10,10.60,8.20,0.00,51.40,14.10,13.00,1.00,,,,,,,,11.16,4.60,43.00,1003.50,1020.60,985.60,1012.70
0016A,1960,3,13.00,17.20,8.70,24.30,5.80,11.90,13.90,0.00,73.80,26.80,10.00,2.00,12.00,0.00,0.00,,,,,11.16,4.70,39.00,1000.40,1016.40,983.60,1009.50
0016A,1960,4,14.60,20.10,9.10,25.20,4.60,11.60,12.40,0.00,17.00,6.50,3.00,0.00,,,,,,,,11.16,9.20,69.00,1005.70,1014.80,997.60,1014.70
0016A,1960,5,18.10,22.90,13.30,26.60,7.60,18.00,15.50,0.00,30.70,16.20,5.00,2.00,,,,,,,,9.00,10.40,71.00,1005.40,1013.60,996.30,1014.30
0016A,1960,6,21.60,25.60,17.50,29.10,14.90,20.90,20.80,0.00,157.50,74.70,6.00,3.00,,,,,,,,11.16,8.80,58.00,1007.20,1015.80,999.60,1016.00
0016A,1960,7,22.90,27.10,18.70,29.80,15.80,21.90,23.20,0.00,41.50,15.30,10.00,1.00,,,,,,,,11.16,9.60,65.00,1006.10,1013.20,996.30,1014.90
0016A,1960,8,23.60,27.90,19.40,32.40,16.20,22.20,25.40,0.00,23.80,12.20,5.00,1.00,,,,,,,,11.88,9.70,70.00,1005.20,1013.80,994.60,1013.90
0016A,1960,9,20.60,25.30,15.90,29.20,10.40,20.40,22.10,0.00,66.50,31.50,8.00,2.00,,,,,,,,10.08,6.90,55.00,1005.30,1014.40,986.40,1014.20
0016A,1960,10,16.00,20.30,11.70,25.20,6.60,17.00,15.30,0.00,71.00,37.80,10.00,2.00,,,,,,,,11.16,6.00,54.00,999.90,1012.40,981.80,1008.80
